Epoch,Loss,Accuracy
1,2.9856653213500977,0.2236328125
2,2.0933351516723633,0.421875
3,1.7242544889450073,0.515625
4,1.548247218132019,0.544921875
5,1.420008659362793,0.5703125
6,1.329115390777588,0.583984375
7,1.267909288406372,0.6083984375
8,1.1746073961257935,0.6201171875
9,1.130838394165039,0.6416015625
10,1.0661258697509766,0.6533203125
11,1.0460578203201294,0.66796875
12,0.995255172252655,0.6845703125
13,0.9642765522003174,0.6962890625
14,0.9465610980987549,0.6982421875
15,0.9138245582580566,0.7099609375
16,0.9065526723861694,0.70703125
17,0.8719190359115601,0.7158203125
18,0.8527219295501709,0.7275390625
19,0.8390509486198425,0.724609375
20,0.8125737905502319,0.73828125
21,0.8105598092079163,0.7353515625
22,0.7952876091003418,0.7421875
23,0.7700603604316711,0.75
24,0.7483718395233154,0.7509765625
25,0.7589377760887146,0.7392578125
26,0.7356201410293579,0.74609375
27,0.7236429452896118,0.7509765625
28,0.7137836813926697,0.7666015625
29,0.6898683309555054,0.7744140625
30,0.6972129940986633,0.7734375
31,0.6673200130462646,0.77734375
32,0.647443950176239,0.78515625
33,0.6554315090179443,0.7861328125
34,0.6252575516700745,0.802734375
35,0.6271111369132996,0.7919921875
36,0.6232450008392334,0.7900390625
37,0.5996071100234985,0.810546875
38,0.578669548034668,0.8115234375
39,0.6289946436882019,0.7939453125
40,0.5657984018325806,0.8037109375
41,0.5804275274276733,0.8017578125
42,0.5320386290550232,0.8193359375
43,0.551636278629303,0.8193359375
44,0.544173002243042,0.826171875
45,0.5213820934295654,0.8203125
46,0.546560525894165,0.818359375
47,0.5130921602249146,0.818359375
48,0.4803261160850525,0.833984375
49,0.5070921182632446,0.8388671875
50,0.4999872148036957,0.830078125
51,0.471686989068985,0.8447265625
52,0.48049673438072205,0.845703125
53,0.49415040016174316,0.8349609375
54,0.47039738297462463,0.84375
55,0.4665883481502533,0.837890625
56,0.46408724784851074,0.8505859375
57,0.468270868062973,0.8447265625
58,0.4452819228172302,0.8466796875
59,0.44127750396728516,0.849609375
60,0.4267365038394928,0.85546875
61,0.42940467596054077,0.869140625
62,0.4095649719238281,0.8671875
63,0.426084041595459,0.8564453125
64,0.41013646125793457,0.8681640625
65,0.3898007273674011,0.8720703125
66,0.4146130383014679,0.8662109375
67,0.40219956636428833,0.8671875
68,0.3533092737197876,0.880859375
69,0.3991360664367676,0.865234375
70,0.3524792790412903,0.8857421875
71,0.38439351320266724,0.875
72,0.3756400942802429,0.87109375
73,0.3482159972190857,0.8896484375
74,0.4131762981414795,0.8564453125
75,0.37945863604545593,0.8720703125
76,0.3715450167655945,0.8818359375
77,0.34530478715896606,0.88671875
78,0.3488050401210785,0.880859375
79,0.32528430223464966,0.8984375
80,0.33686959743499756,0.8828125
81,0.3234408497810364,0.8984375
82,0.34788379073143005,0.87890625
83,0.3111613094806671,0.890625
84,0.38276827335357666,0.8681640625
85,0.35471993684768677,0.8896484375
86,0.32767826318740845,0.88671875
87,0.33147966861724854,0.8876953125
88,0.3525311350822449,0.8818359375
89,0.3337545394897461,0.888671875
90,0.3170318901538849,0.896484375
91,0.3088601231575012,0.900390625
92,0.30876070261001587,0.892578125
93,0.3145524263381958,0.8984375
94,0.2975695729255676,0.904296875
95,0.3084222674369812,0.8955078125
96,0.3054651618003845,0.90234375
97,0.31676244735717773,0.8896484375
98,0.2622903287410736,0.91796875
99,0.2725183367729187,0.91015625
100,0.29137247800827026,0.908203125
