Epoch,Loss,Accuracy
1,2.774127960205078,0.26953125
2,1.942077875137329,0.4921875
3,1.5947926044464111,0.5537109375
4,1.454347014427185,0.5693359375
5,1.349992275238037,0.5927734375
6,1.3001577854156494,0.59765625
7,1.2013285160064697,0.6416015625
8,1.152308702468872,0.6474609375
9,1.104860544204712,0.6533203125
10,1.0929523706436157,0.6533203125
11,1.0567467212677002,0.6669921875
12,1.0299746990203857,0.6796875
13,1.0144062042236328,0.6943359375
14,0.9806708097457886,0.6767578125
15,0.9469177722930908,0.6904296875
16,0.9273273944854736,0.69921875
17,0.8999360799789429,0.7138671875
18,0.8949328660964966,0.7265625
19,0.8517184257507324,0.734375
20,0.8470435738563538,0.7373046875
21,0.8519756197929382,0.7314453125
22,0.8263511061668396,0.740234375
23,0.80080646276474,0.7314453125
24,0.7965955138206482,0.7451171875
25,0.7806877493858337,0.7578125
26,0.7860859632492065,0.7412109375
27,0.7857058644294739,0.74609375
28,0.7386806011199951,0.748046875
29,0.7181676626205444,0.763671875
30,0.7109684944152832,0.7734375
31,0.7154487371444702,0.7724609375
32,0.6751707196235657,0.77734375
33,0.6724022030830383,0.791015625
34,0.6845555901527405,0.775390625
35,0.6743288636207581,0.7744140625
36,0.643160343170166,0.7939453125
37,0.6403445601463318,0.806640625
38,0.6186169385910034,0.7978515625
39,0.6027987003326416,0.8056640625
40,0.6183648109436035,0.7939453125
41,0.6358286142349243,0.79296875
42,0.6040075421333313,0.8056640625
43,0.6285363435745239,0.7958984375
44,0.6116392612457275,0.7890625
45,0.5959091186523438,0.8056640625
46,0.5453189611434937,0.826171875
47,0.5894908905029297,0.8017578125
48,0.5630819797515869,0.81640625
49,0.5546762943267822,0.8310546875
50,0.5776937007904053,0.8046875
51,0.5679835081100464,0.8173828125
52,0.531893253326416,0.828125
53,0.5561925768852234,0.810546875
54,0.515283465385437,0.8310546875
55,0.5390739440917969,0.8154296875
56,0.5433743000030518,0.8115234375
57,0.5296841859817505,0.8271484375
58,0.5158392190933228,0.828125
59,0.5066191554069519,0.8251953125
60,0.5149863362312317,0.8310546875
61,0.4922406077384949,0.84375
62,0.48977985978126526,0.83984375
63,0.49862444400787354,0.8310546875
64,0.4908140301704407,0.83203125
65,0.4696437120437622,0.837890625
66,0.490060031414032,0.83984375
67,0.4907296895980835,0.837890625
68,0.46402227878570557,0.8486328125
69,0.4961872100830078,0.828125
70,0.4470978379249573,0.8505859375
71,0.47811010479927063,0.8369140625
72,0.4892355799674988,0.8486328125
73,0.44322440028190613,0.865234375
74,0.437324583530426,0.8388671875
75,0.446753591299057,0.85546875
76,0.42826658487319946,0.85546875
77,0.4107290506362915,0.8583984375
78,0.438185453414917,0.8525390625
79,0.4146750271320343,0.8740234375
80,0.4101065397262573,0.869140625
